Date,EOD/V - Open,EOD/V - Close
2010-06-21,77.96,80.9
2010-06-22,81.0,78.76
2010-06-23,78.96,77.76
2010-06-24,77.13,76.48
2010-06-25,77.03,76.66
2010-06-28,76.99,75.22
2010-06-29,74.28,71.45
2010-06-30,71.66,70.75
2010-07-01,71.0,72.86
2010-07-02,73.24,73.18
2010-07-06,73.83,72.27
2010-07-07,72.68,74.82
2010-07-08,75.5,75.08
2010-07-09,76.24,77.38
2010-07-12,75.99,76.51
2010-07-13,77.8,76.59
2010-07-14,76.57,76.28
2010-07-15,76.39,75.28
2010-07-16,73.6,71.45
2010-07-19,72.21,71.22
2010-07-20,70.71,73.6
2010-07-21,73.99,72.36
2010-07-22,73.15,74.46
2010-07-23,74.47,75.59
2010-07-26,75.69,76.08
2010-07-27,77.0,76.61
2010-07-28,76.15,75.18
2010-07-29,74.76,71.98
2010-07-30,71.59,73.35
2010-08-02,70.98,72.23
2010-08-03,71.63,73.0
2010-08-04,73.21,72.45
2010-08-05,72.13,71.5
2010-08-06,71.15,72.14
2010-08-09,73.12,74.74
2010-08-10,74.06,75.27
2010-08-11,74.0,73.51
2010-08-12,72.78,72.98
2010-08-13,72.94,72.22
2010-08-16,72.08,72.83
2010-08-17,73.45,73.36
2010-08-18,73.08,72.88
2010-08-19,72.42,71.63
2010-08-20,71.29,70.1
2010-08-23,70.55,70.12
2010-08-24,69.51,70.66
2010-08-25,70.31,70.86
2010-08-26,71.21,69.91
2010-08-27,70.39,71.11
2010-08-30,70.97,69.54
2010-08-31,69.54,68.98
2010-09-01,69.83,70.53
2010-09-02,70.98,71.98
2010-09-03,73.0,72.5
2010-09-07,71.87,71.5
2010-09-08,70.35,68.55
2010-09-09,68.78,66.78
2010-09-10,66.84,68.09
2010-09-13,68.0,65.48
2010-09-14,65.63,67.12
2010-09-15,67.72,68.93
2010-09-16,68.81,68.38
2010-09-17,68.77,68.49
2010-09-20,68.5,70.31
2010-09-21,70.45,69.94
2010-09-22,70.08,70.62
2010-09-23,70.07,70.98
2010-09-24,71.75,72.37
2010-09-27,72.77,73.0
2010-09-28,72.93,73.27
2010-09-29,73.01,74.41
2010-09-30,74.74,74.26
2010-10-01,74.74,73.32
2010-10-04,73.26,73.24
2010-10-05,74.12,74.99
2010-10-06,75.06,74.23
2010-10-07,74.28,73.61
2010-10-08,73.69,74.0
2010-10-11,73.85,74.29
2010-10-12,74.12,74.25
2010-10-13,74.71,76.94
2010-10-14,76.66,77.17
2010-10-15,77.76,77.6
2010-10-18,77.51,78.36
2010-10-19,77.61,77.55
2010-10-20,77.76,79.52
2010-10-21,79.45,79.2
2010-10-22,79.15,79.29
2010-10-25,80.01,80.63
2010-10-26,80.18,80.03
2010-10-27,80.29,79.92
2010-10-28,79.34,76.45
2010-10-29,76.4,78.16
2010-11-01,78.58,77.32
2010-11-02,78.16,78.42
2010-11-03,78.57,79.0
2010-11-04,79.71,79.99
2010-11-05,80.27,79.8
2010-11-08,79.4,78.71
2010-11-09,78.99,78.32
2010-11-10,78.5,79.29
2010-11-11,78.91,79.22
2010-11-12,78.57,76.94
2010-11-15,77.52,76.36
2010-11-16,75.56,74.99
2010-11-17,74.9,75.73
2010-11-18,76.27,76.94
2010-11-19,76.8,77.05
2010-11-22,76.67,75.46
2010-11-23,75.0,74.65
2010-11-24,75.51,75.82
2010-11-26,75.3,75.48
2010-11-29,75.23,74.19
2010-11-30,73.54,73.85
2010-12-01,74.94,75.22
2010-12-02,75.57,77.0
2010-12-03,76.73,77.35
2010-12-06,77.3,78.31
2010-12-07,78.99,76.88
2010-12-08,77.0,77.94
2010-12-09,78.15,79.12
2010-12-10,79.03,80.2
2010-12-13,80.3,80.89
2010-12-14,80.77,80.64
2010-12-15,80.19,76.94
2010-12-16,77.18,67.19
2010-12-17,68.3,66.9
2010-12-20,67.5,67.99
2010-12-21,68.68,68.05
2010-12-22,68.27,68.55
2010-12-23,68.33,68.73
2010-12-27,68.68,70.81
2010-12-28,71.36,70.73
2010-12-29,70.91,70.6
2010-12-30,70.72,70.29
2010-12-31,70.28,70.38
2011-01-03,70.4,70.52
2011-01-04,70.93,70.6
2011-01-05,70.84,72.09
2011-01-06,72.73,73.17
2011-01-07,73.44,72.96
2011-01-10,72.7,71.81
2011-01-11,72.05,71.88
2011-01-12,72.0,72.61
2011-01-13,73.13,71.14
2011-01-14,71.27,71.12
2011-01-18,71.27,71.21
2011-01-19,70.96,69.12
2011-01-20,68.69,70.69
2011-01-21,70.51,70.15
2011-01-24,70.23,71.79
2011-01-25,71.17,71.58
2011-01-26,71.9,71.0
2011-01-27,71.06,70.6
2011-01-28,70.8,69.46
2011-01-31,69.9,69.85
2011-02-01,70.21,70.7
2011-02-02,71.07,72.09
2011-02-03,71.73,71.63
2011-02-04,71.98,72.9
2011-02-07,72.98,73.93
2011-02-08,73.97,74.57
2011-02-09,73.78,73.28
2011-02-10,72.9,74.74
2011-02-11,74.6,74.93
2011-02-14,74.99,75.74
2011-02-15,75.71,75.61
2011-02-16,75.74,75.96
2011-02-17,75.75,76.14
2011-02-18,76.58,75.83
2011-02-22,74.34,73.74
2011-02-23,73.64,72.88
2011-02-24,72.66,73.91
2011-02-25,74.18,74.68
2011-02-28,74.86,73.05
2011-03-01,73.87,72.7
2011-03-02,72.58,73.97
2011-03-03,74.7,75.83
2011-03-04,75.86,74.69
2011-03-07,74.6,74.15
2011-03-08,74.45,74.17
2011-03-09,74.4,73.71
2011-03-10,73.32,71.4
2011-03-11,71.38,72.51
2011-03-14,71.9,71.86
2011-03-15,70.9,71.2
2011-03-16,71.42,70.96
2011-03-17,71.59,71.43
2011-03-18,72.12,71.42
2011-03-21,71.84,71.96
2011-03-22,71.8,71.6
2011-03-23,71.35,71.99
2011-03-24,72.22,72.66
2011-03-25,72.48,72.09
2011-03-28,72.39,72.75
2011-03-29,72.36,72.2
2011-03-30,73.94,74.23
2011-03-31,74.51,73.62
2011-04-01,73.99,74.22
2011-04-04,74.19,75.24
2011-04-05,75.18,75.62
2011-04-06,75.71,76.0
2011-04-07,76.11,76.41
2011-04-08,76.82,76.72
2011-04-11,76.8,77.71
2011-04-12,76.92,77.03
2011-04-13,77.36,77.5
2011-04-14,77.14,76.31
2011-04-15,76.47,76.47
2011-04-18,75.58,75.68
2011-04-19,75.49,75.92
2011-04-20,76.61,77.37
2011-04-21,77.36,77.77
2011-04-25,77.77,77.76
2011-04-26,77.8,78.77
2011-04-27,78.8,78.89
2011-04-28,78.84,77.66
2011-04-29,77.7,78.12
2011-05-02,78.46,79.14
2011-05-03,79.63,80.0
2011-05-04,79.85,79.77
2011-05-05,79.1,78.7
2011-05-06,78.5,79.41
2011-05-09,79.13,79.86
2011-05-10,79.97,80.35
2011-05-11,80.22,79.34
2011-05-12,79.09,79.93
2011-05-13,80.0,79.91
2011-05-16,79.15,79.94
2011-05-17,79.8,80.6
2011-05-18,80.43,80.01
2011-05-19,80.13,79.64
2011-05-20,79.34,78.23
2011-05-23,77.09,76.92
2011-05-24,77.01,77.6
2011-05-25,76.96,78.75
2011-05-26,78.57,79.29
2011-05-27,78.66,79.8
2011-05-31,80.02,81.06
2011-06-01,80.76,79.18
2011-06-02,79.19,80.7
2011-06-03,79.81,79.13
2011-06-06,79.0,78.2
2011-06-07,78.8,79.82
2011-06-08,78.69,76.71
2011-06-09,76.28,76.43
2011-06-10,76.21,74.69
2011-06-13,74.85,74.86
2011-06-14,75.11,75.93
2011-06-15,75.54,74.84
2011-06-16,74.8,74.88
2011-06-17,75.41,74.43
2011-06-20,74.28,74.05
2011-06-21,74.56,74.99
2011-06-22,74.94,74.66
2011-06-23,74.19,75.31
2011-06-24,75.31,73.37
2011-06-27,73.79,73.89
2011-06-28,74.28,75.28
2011-06-29,75.92,86.57
2011-06-30,86.13,84.26
2011-07-01,84.1,87.97
2011-07-05,86.96,88.32
2011-07-06,87.84,88.2
2011-07-07,88.2,90.15
2011-07-08,88.97,89.73
2011-07-11,88.61,87.9
2011-07-12,88.02,87.7
2011-07-13,88.14,88.74
2011-07-14,88.25,87.94
2011-07-15,88.69,88.75
2011-07-18,88.32,88.07
